seed,radius,duration,noa,snr,F1_score,roc_auc
35,2,10,450,15,0.7745262791910529,0.9030562410577436
36,2,10,450,15,0.7505397448478901,0.8871666874118784
37,2,10,450,15,0.8013359471429609,0.9025133083536024
38,2,10,450,15,0.8210160156533082,0.92620394803341
39,2,10,450,15,0.723189787135719,0.8734961168292377
40,2,10,450,15,0.758289010412765,0.8763005517741334
41,2,10,450,15,0.8121970514203524,0.9141197132698968
42,2,10,450,15,0.7500506380392952,0.8903370496565512
43,2,10,450,15,0.7481172031975021,0.8726935013194346
44,2,10,450,15,0.7433517602560372,0.8822761611710457
45,2,10,450,15,0.750501613888162,0.8953372898576535
46,2,10,450,15,0.8135029637125921,0.9192176453851502
47,2,10,450,15,0.8032213904989369,0.9111548123979192
48,2,10,450,15,0.7684843947944259,0.8869262976522
49,2,10,450,15,0.7625168656694764,0.8865750782659199
50,2,10,450,15,0.7745706451147352,0.8952693630223932
1,2,10,450,20,0.8348484189465443,0.9246681464328392
2,2,10,450,20,0.7468892829851349,0.8867675021912323
3,2,10,450,20,0.7968107356925279,0.9160584393410456
4,2,10,450,20,0.8334661816495413,0.9324634505817871
5,2,10,450,20,0.8378728537177406,0.9249749632179972
6,2,10,450,20,0.7589631571282948,0.883877516985438
7,2,10,450,20,0.8311487386651768,0.9170679098023002
8,2,10,450,20,0.7650008646031472,0.8943029613178953
9,2,10,450,20,0.7738842789863198,0.8932066451999972
10,2,10,450,20,0.7701080968404753,0.9032683231497584
11,2,10,450,20,0.8018740831661827,0.9181327949760794
12,2,10,450,20,0.8269996277098428,0.923480140861293
13,2,10,450,20,0.8281883289510001,0.9283944026069714
14,2,10,450,20,0.8416226568394173,0.9269731222450172
15,2,10,450,20,0.7621948578770337,0.896452480183829
16,2,10,450,20,0.8224248927038627,0.9168053251936196
17,2,10,450,20,0.7914098000057885,0.9068079283499
18,2,10,450,20,0.7838837363843865,0.9039850025247044
19,2,10,450,20,0.7570790732849518,0.8921973757966583
20,2,10,450,20,0.8149194361975038,0.9271306206896196
21,2,10,450,20,0.8541724062930472,0.9391740022108775
22,2,10,450,20,0.7847738649845192,0.8821263353727931
23,2,10,450,20,0.8196544904606794,0.9165047770913332
24,2,10,450,20,0.7560419911172637,0.8906315763152559
25,2,10,450,20,0.7873211521490676,0.9077989315691668
26,2,10,450,20,0.8255507628173581,0.9221979745539854
27,2,10,450,20,0.8390605113965058,0.9325284717115476
28,2,10,450,20,0.8028653045836173,0.9172809369897796
29,2,10,450,20,0.844803534061846,0.9292185865150662
30,2,10,450,20,0.808102129628291,0.9094656722277372
31,2,10,450,20,0.8262720395777605,0.913402568088388
32,2,10,450,20,0.8406041979228875,0.9396846381789296
33,2,10,450,20,0.8335051623410582,0.9365689073990456
34,2,10,450,20,0.8242837455574091,0.92723131138312
35,2,10,450,20,0.8573042823202179,0.9360289288921764
36,2,10,450,20,0.840684144118884,0.9307793334158438
37,2,10,450,20,0.8533217164016554,0.9390856155783937
38,2,10,450,20,0.7918544822088557,0.9105046043561882
39,2,10,450,20,0.8070069029258008,0.9119704506387424
40,2,10,450,20,0.8525582440632257,0.9475918519905104
41,2,10,450,20,0.8016972312117944,0.9067490941751384
42,2,10,450,20,0.8052895049046558,0.9152386703959744
43,2,10,450,20,0.7829832752713974,0.909227587828994
44,2,10,450,20,0.8579575210939773,0.9401951551603344
45,2,10,450,20,0.8492250428916224,0.9366849109596812
46,2,10,450,20,0.8405088911377765,0.9304183944969354
47,2,10,450,20,0.7771823027408034,0.9050861203387276
48,2,10,450,20,0.7632442704134516,0.8790175333807289
49,2,10,450,20,0.8225513949540818,0.9178275670875016
50,2,10,450,20,0.8166546399191803,0.9172437409624228
1,2,10,450,25,0.8408507676917054,0.9279646480817678
2,2,10,450,25,0.856899808238534,0.9398108108048178
3,2,10,450,25,0.8080405395920773,0.924539609949054
4,2,10,450,25,0.8620164925146012,0.9462965254944108
5,2,10,450,25,0.8278953403523402,0.918660076413235
6,2,10,450,25,0.8584825979321392,0.9420117814104672
7,2,10,450,25,0.8469924219634134,0.9246307123434042
8,2,10,450,25,0.7647126635540953,0.8928739545631881
9,2,10,450,25,0.85876878223817,0.9449986660898048
10,2,10,450,25,0.8413090735832762,0.929005717499428
11,2,10,450,25,0.8209741639972458,0.9144572147414298
12,2,10,450,25,0.8121939345342077,0.9086431385557177
13,2,10,450,25,0.8285369786597324,0.9287144631385033
14,2,10,450,25,0.8798966978120829,0.9468663306285467
15,2,10,450,25,0.8545278688051277,0.9467067323255632
16,2,10,450,25,0.8716320934668574,0.9414716850723344
17,2,10,450,25,0.8582674886399815,0.9291190703473295
18,2,10,450,25,0.848169657045448,0.9344121890763484
19,2,10,450,25,0.8474236100001454,0.9313945825614522
20,2,10,450,25,0.8660536707693195,0.9527236713213174
21,2,10,450,25,0.7884869136518524,0.8954655647166843
22,2,10,450,25,0.8580977458838508,0.9248631136295984
23,2,10,450,25,0.8682526756630992,0.9376523421167866
24,2,10,450,25,0.8570975370594682,0.9386788045641116
25,2,10,450,25,0.8556341593970169,0.9423567557991814
26,2,10,450,25,0.8645166893437165,0.940353321095156
27,2,10,450,25,0.8075899571907902,0.9133384100220612
28,2,10,450,25,0.8473529283818859,0.9368224827011776
