seed,radius,duration,noa,snr,F1_score,roc_auc
1,2,10,450,25,0.7614283850202253,0.906151450913842
2,2,10,450,25,0.8790172585319435,0.9504523333943388
3,2,10,450,25,0.8330830022880725,0.9354931855174928
4,2,10,450,25,0.8356980333618353,0.9344804521653484
5,2,10,450,25,0.8860925377135114,0.9543912512416984
6,2,10,450,25,0.8018931119848551,0.9097623528418872
7,2,10,450,25,0.7949632558339421,0.9097977734377396
8,2,10,450,25,0.7716006686264338,0.8978046948514006
9,2,10,450,25,0.8561056290648127,0.945600620961228
10,2,10,450,25,0.8329710252821536,0.9248782943998124
11,2,10,450,25,0.8394156213513756,0.9389836559097458
12,2,10,450,25,0.8044617543457716,0.9232804405226251
13,2,10,450,25,0.8002963522524223,0.922018454095952
14,2,10,450,25,0.8662584876095409,0.938205959338055
15,2,10,450,25,0.8706385067344199,0.9548477567794657
16,2,10,450,25,0.8167322365283739,0.9100041443257714
17,2,10,450,25,0.7642325837168245,0.893817344367517
18,2,10,450,25,0.8029528184681171,0.9068235705120772
19,2,10,450,25,0.8544917756221003,0.9350230467159693
20,2,10,450,25,0.8163894733807973,0.9359111466732408
21,2,10,450,25,0.8563764228231712,0.9346947629549234
22,2,10,450,25,0.832489366011748,0.909944750941178
23,2,10,450,25,0.8696195905072126,0.940048891880874
24,2,10,450,25,0.7907942550614293,0.9145573359848708
25,2,10,450,25,0.8021063900583019,0.9041142314900086
26,2,10,450,25,0.802014880004632,0.9230201036512956
27,2,10,450,25,0.8410274210343631,0.9363515860092682
28,2,10,450,25,0.8520220988066064,0.9358695045939464
29,2,10,450,25,0.8472738897930714,0.9354172845270218
30,2,10,450,25,0.812844275449275,0.9092876035738222
31,2,10,450,25,0.8070296545574827,0.926214181330188
32,2,10,450,25,0.7880500487961196,0.9231920597262904
33,2,10,450,25,0.8306363649946957,0.9241218037951208
34,2,10,450,25,0.8533836222528469,0.943075992091056
35,2,10,450,25,0.8476560236425799,0.9337771432906916
36,2,10,450,25,0.8743025375017525,0.9493017511330336
37,2,10,450,25,0.7963406665214551,0.92185943378562
38,2,10,450,25,0.8501775490977607,0.939762494027558
39,2,10,450,25,0.8380556277618924,0.935244619680328
40,2,10,450,25,0.8527380328114466,0.9344853335175156
41,2,10,450,25,0.7745990650845019,0.9095623669918578
42,2,10,450,25,0.7919499985531989,0.9242790397698392
43,2,10,450,25,0.8034230040908368,0.9194987989402704
44,2,10,450,25,0.8807972068664534,0.9511363663743212
45,2,10,450,25,0.8146209543749455,0.9194731605834392
46,2,10,450,25,0.8730085297094116,0.9509475131339604
47,2,10,450,25,0.7893571782250313,0.9132953534999492
48,2,10,450,25,0.8187262466889323,0.9190165040458746
49,2,10,450,25,0.8072598546288102,0.9112586826677862
50,2,10,450,25,0.8537162649733007,0.939741519955396
