seed,radius,duration,noa,amplitude,F1_score,roc_auc
49,2,10,450,1.5,0.8226964759818358,0.924948069982244
50,2,10,450,1.5,0.8280271323423294,0.9313592514115632
1,2,10,450,2.0,0.8469401069983907,0.942260293244737
2,2,10,450,2.0,0.8705682195019969,0.9530836024345852
3,2,10,450,2.0,0.8565813669478797,0.9451983660204344
4,2,10,450,2.0,0.8550600715931653,0.9479958385249678
5,2,10,450,2.0,0.8787061994609164,0.9572176269846164
6,2,10,450,2.0,0.8522790155817679,0.9430278787131408
7,2,10,450,2.0,0.8620052430272036,0.937946928279598
8,2,10,450,2.0,0.8341402962706784,0.929863824381991
9,2,10,450,2.0,0.8634503251850191,0.9513232616093936
10,2,10,450,2.0,0.8788600696822608,0.95342224193911
11,2,10,450,2.0,0.8779151573211987,0.9549811259107424
12,2,10,450,2.0,0.8646582089979667,0.9455339551627028
13,2,10,450,2.0,0.8585789618954922,0.9480837840638214
14,2,10,450,2.0,0.8652138587429633,0.9468602156405136
15,2,10,450,2.0,0.8731503803900622,0.956594211060604
16,2,10,450,2.0,0.8742846924177397,0.951164881193636
17,2,10,450,2.0,0.8556915863506122,0.9362368307293456
18,2,10,450,2.0,0.8437202045592441,0.9359698552094584
19,2,10,450,2.0,0.8516412396922585,0.938557892928468
20,2,10,450,2.0,0.8690802179113942,0.954547617507628
21,2,10,450,2.0,0.8684695135213514,0.9499807528063624
22,2,10,450,2.0,0.8531786220666108,0.9330641940996576
23,2,10,450,2.0,0.866478594695207,0.9427173431484036
24,2,10,450,2.0,0.8638749495299072,0.9441087351667534
25,2,10,450,2.0,0.8516991450023871,0.9421330023642572
26,2,10,450,2.0,0.8597979330110297,0.9459789618830514
27,2,10,450,2.0,0.8777334258937869,0.9554457106255324
28,2,10,450,2.0,0.8642605455099112,0.9459741927745136
29,2,10,450,2.0,0.8716868170192978,0.9544055039368516
30,2,10,450,2.0,0.8469067618951234,0.93286772632468
31,2,10,450,2.0,0.8803175424971956,0.9560038001083238
32,2,10,450,2.0,0.8605304939332585,0.951914877882638
33,2,10,450,2.0,0.8794955697999313,0.9564424313725184
34,2,10,450,2.0,0.8588090229926743,0.9487435129984744
35,2,10,450,2.0,0.8735585559483108,0.9532961290040874
36,2,10,450,2.0,0.8709939716809196,0.9518544814802524
37,2,10,450,2.0,0.8672039497567705,0.9522161295142502
38,2,10,450,2.0,0.8846728023769839,0.9606328882684878
39,2,10,450,2.0,0.8744476215232648,0.9509717442680764
40,2,10,450,2.0,0.8811746198217095,0.9616896088051806
41,2,10,450,2.0,0.8611003236245954,0.9454182927928444
42,2,10,450,2.0,0.8509794843600799,0.9461925637221232
43,2,10,450,2.0,0.8595961202098903,0.9440085797968916
44,2,10,450,2.0,0.8699447192318883,0.9528749557195784
45,2,10,450,2.0,0.8733606676553549,0.95561070137195
46,2,10,450,2.0,0.8840826948098887,0.9587515692075792
47,2,10,450,2.0,0.8562024874027904,0.941943015772433
48,2,10,450,2.0,0.8442934469653346,0.9352204102048762
49,2,10,450,2.0,0.8467218941778983,0.9377223245141972
50,2,10,450,2.0,0.855852215326887,0.943714088854256
